layer_dims,lRate,epochs,activation,initializer,GD_type,batch_size,optimizer,beta,train_acc,test_acc
"[6, 64, 16, 10]",0.001,100,ReLu,He,StochasticGD,,Momentum,0.9,0.7578571428571429,0.755
"[6, 64, 16, 10]",0.009,100,ReLu,He,StochasticGD,,Momentum,0.9,0.7328571428571429,0.7233333333333334
"[6, 64, 16, 10]",0.009,300,ReLu,He,StochasticGD,,Momentum,0.9,0.7478571428571429,0.6766666666666666
"[6, 64, 16, 10]",0.45,500,TanH,Random,MiniBatchGD,64,Momentum,0.9,0.8064285714285714,0.7366666666666667
"[6, 64, 16, 10]",0.2,1000,TanH,Xavier,MiniBatchGD,64,Momentum,0.7,0.82,0.7333333333333333
"[6, 128, 32, 10]",0.2,1000,TanH,Xavier,MiniBatchGD,128,Momentum,0.7,0.8164285714285714,0.7283333333333334
"[6, 20, 10]",0.25,1000,ReLu,Random,MiniBatchGD,128,,0,0.7721428571428571,0.7433333333333333
"[6, 20, 10]",0.01,3000,ReLu,Random,MiniBatchGD,128,,0,0.7621428571428571,0.7533333333333333
"[6, 20, 10]",0.1,300,ReLu,He,MiniBatchGD,128,,0,0.7635714285714286,0.7416666666666667
"[6, 60, 10]",0.12,1500,ReLu,He,MiniBatchGD,128,,0,0.7885714285714286,0.7466666666666667
"[6, 60, 10]",0.12,1500,ReLu,He,MiniBatchGD,128,Momentum,0.98,0.7964285714285714,0.7533333333333333
"[6, 60, 10]",0.12,300,ReLu,He,MiniBatchGD,128,Momentum,0.98,0.77,0.75
"[6, 60, 10]",0.12,300,ReLu,He,MiniBatchGD,128,Momentum,0.98,0.77,0.75
"[6, 10]",0.45,5000,Sigmoid,Random,BatchGD,,,,0.7578571428571429,0.7466666666666667
"[6, 10]",0.01,500,Sigmoid,Random,StochasticGD,,Momentum,0.98,0.75,0.755
"[6, 10]",0.01,500,Sigmoid,Random,StochasticGD,,,,0.7492857142857143,0.7483333333333333
"[6, 10]",0.01,40,Sigmoid,Random,StochasticGD,,,,0.7407142857142858,0.735
"[6, 10]",0.1,40,Sigmoid,Random,StochasticGD,,,,0.7071428571428572,0.7216666666666667
"[6, 10]",0.1,40,Sigmoid,Random,StochasticGD,,,,0.7071428571428572,0.7216666666666667
"[6, 10]",0.015,50,Sigmoid,Random,StochasticGD,,,,0.7471428571428571,0.7466666666666667
"[6, 64, 10]",0.015,50,Sigmoid,Random,StochasticGD,,,,0.7371428571428571,0.75
"[6, 64, 10]",0.015,50,TanH,Random,StochasticGD,,,,0.7407142857142858,0.7233333333333334
"[6, 64, 10]",0.00015,50,TanH,Random,StochasticGD,,,,0.4657142857142857,0.4766666666666667
"[6, 64, 10]",0.00015,350,TanH,Random,MiniBatchGD,128,Momentum,0.9,0.37142857142857144,0.3466666666666667
"[6, 64, 10]",0.15,350,TanH,Random,MiniBatchGD,128,Momentum,0.9,0.7728571428571429,0.7533333333333333
"[6, 64, 10]",0.15,350,TanH,Random,MiniBatchGD,128,Momentum,0.9,0.7511111111111111,0.82
"[6, 64, 10]",0.15,350,TanH,NormalizedXavier,MiniBatchGD,128,Momentum,0.9,0.77,0.7516666666666667
"[6, 64, 10]",0.09,350,ReLu,He,MiniBatchGD,32,Momentum,0.7,0.7807142857142857,0.75
"[6, 64, 10]",0.09,550,ReLu,He,MiniBatchGD,32,Momentum,0.7,0.7842857142857143,0.7466666666666667
"[6, 64, 10]",0.09,550,ReLu,He,MiniBatchGD,32,,,0.785,0.7533333333333333
"[6, 64, 10]",0.1,250,ReLu,He,MiniBatchGD,256,,,0.7614285714285715,0.75
"[6, 64, 10]",0.09,250,ReLu,He,MiniBatchGD,256,,,0.7578571428571429,0.75
"[6, 64, 10]",0.09,250,ReLu,He,MiniBatchGD,16,,,0.7828571428571428,0.7516666666666667
"[6, 64, 32, 10]",0.09,250,ReLu,He,MiniBatchGD,16,,,0.7978571428571428,0.7333333333333333
"[6, 64, 32, 10]",0.09,250,ReLu,He,MiniBatchGD,32,,,0.7857142857142857,0.7333333333333333
"[6, 64, 32, 10]",0.09,30,ReLu,He,StochasticGD,,,,0.68,0.6633333333333333
"[6, 64, 32, 10]",0.09,10,ReLu,He,StochasticGD,,,,0.6721428571428572,0.665
"[6, 64, 32, 10]",0.09,3,ReLu,He,StochasticGD,,,,0.6628571428571428,0.6333333333333333

"[6, 64, 32, 10]",0.00999,100,ReLu,He,StochasticGD,,,,0.7307142857142858,0.7016666666666667
"[6, 64, 32, 10]",0.00999,150,ReLu,He,StochasticGD,,Momentum,0.899,0.7521428571428571,0.72
"[6, 64, 32, 10]",0.00999,150,ReLu,He,StochasticGD,,Momentum,0.899,0.7657142857142857,0.7
"[6, 128, 64, 32, 16, 10]",0.0999,250,ReLu,He,MiniBatchGD,64,Momentum,0.899,0.79,0.7266666666666667
"[6, 256, 128, 64, 32, 16, 10]",0.0999,350,ReLu,He,MiniBatchGD,64,Momentum,0.899,0.8542857142857143,0.7233333333333334
"[6, 256, 128, 64, 32, 16, 10]",0.0999,350,ReLu,He,MiniBatchGD,128,Momentum,0.899,0.8271428571428572,0.7266666666666667
"[6, 500, 100, 10]",0.0999,350,ReLu,He,MiniBatchGD,128,Momentum,0.899,0.7928571428571428,0.7533333333333333
"[6, 1024, 512, 256, 128, 64, 32, 16, 10]",0.0999,350,ReLu,He,MiniBatchGD,128,Momentum,0.899,0.8692857142857143,0.7183333333333334
